"STATION","NAME","DATE","TAVG"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-01","50"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-02","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-03","47"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-04","49"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-05","46"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-06","51"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-07","60"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-08","60"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-09","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-10","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-11","50"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-12","57"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-13","61"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-14","60"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-15","57"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-16","53"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-17","48"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-18","46"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-19","52"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-20","52"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-21","53"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-22","53"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-23","57"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-24","59"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-25","57"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-26","63"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-27","53"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-28","52"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-29","60"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-04-30","63"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-01","59"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-02","63"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-03","55"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-04","58"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-05","62"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-06","61"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-07","63"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-08","66"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-09","63"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-10","68"
"USW00003868","TERRE HAUTE HULMAN REGIONAL AIRPORT, IN US","1998-05-11","63"
