Date Time, Water Level, Sigma, O, F, R, L, Quality 
2019-03-13 00:00,4.138,0.213,0,0,0,0,p
2019-03-13 00:06,4.171,0.197,0,0,0,0,p
2019-03-13 00:12,4.171,0.190,1,0,0,0,p
2019-03-13 00:18,4.152,0.203,0,0,0,0,p
2019-03-13 00:24,4.115,0.197,0,0,0,0,p
2019-03-13 00:30,4.102,0.194,0,0,0,0,p
2019-03-13 00:36,4.132,0.194,0,0,0,0,p
2019-03-13 00:42,4.086,0.187,0,0,0,0,p
2019-03-13 00:48,4.099,0.217,0,0,0,0,p
2019-03-13 00:54,4.047,0.174,0,0,0,0,p
2019-03-13 01:00,4.050,0.187,0,0,0,0,p
2019-03-13 01:06,4.020,0.230,0,0,0,0,p
2019-03-13 01:12,3.974,0.200,0,0,0,0,p
2019-03-13 01:18,3.965,0.171,0,0,0,0,p
2019-03-13 01:24,3.896,0.226,0,0,0,0,p
2019-03-13 01:30,3.876,0.194,0,0,0,0,p
2019-03-13 01:36,3.817,0.148,1,0,0,0,p
2019-03-13 01:42,3.771,0.157,1,0,0,0,p
2019-03-13 01:48,3.709,0.164,0,0,0,0,p
2019-03-13 01:54,3.696,0.184,0,0,0,0,p
2019-03-13 02:00,3.692,0.148,0,0,0,0,p
2019-03-13 02:06,3.636,0.151,0,0,0,0,p
2019-03-13 02:12,3.610,0.157,1,0,0,0,p
2019-03-13 02:18,3.568,0.161,1,0,0,0,p
2019-03-13 02:24,3.515,0.167,1,0,0,0,p
2019-03-13 02:30,3.426,0.184,0,0,0,0,p
2019-03-13 02:36,3.433,0.167,1,0,0,0,p
2019-03-13 02:42,3.321,0.171,1,0,0,0,p
2019-03-13 02:48,3.315,0.207,0,0,0,0,p
2019-03-13 02:54,3.249,0.226,0,0,0,0,p
2019-03-13 03:00,3.236,0.174,0,0,0,0,p
2019-03-13 03:06,3.144,0.151,1,0,0,0,p
2019-03-13 03:12,3.144,0.194,0,0,0,0,p
2019-03-13 03:18,3.141,0.180,1,0,0,0,p
2019-03-13 03:24,3.115,0.207,1,0,0,0,p
2019-03-13 03:30,3.085,0.203,0,0,0,0,p
2019-03-13 03:36,3.066,0.177,1,0,0,0,p
2019-03-13 03:42,3.075,0.223,1,0,0,0,p
2019-03-13 03:48,3.049,0.210,0,0,0,0,p
2019-03-13 03:54,3.020,0.180,1,0,0,0,p
2019-03-13 04:00,3.033,0.157,0,0,0,0,p
2019-03-13 04:06,3.043,0.184,1,0,0,0,p
2019-03-13 04:12,2.997,0.177,1,0,0,0,p
2019-03-13 04:18,3.003,0.180,0,0,0,0,p
2019-03-13 04:24,2.928,0.190,0,0,0,0,p
2019-03-13 04:30,2.931,0.171,1,0,0,0,p
2019-03-13 04:36,2.888,0.128,1,0,0,0,p
2019-03-13 04:42,2.875,0.180,1,0,0,0,p
2019-03-13 04:48,2.928,0.171,0,0,0,0,p
2019-03-13 04:54,2.938,0.154,0,0,0,0,p
2019-03-13 05:00,2.865,0.187,0,0,0,0,p
2019-03-13 05:06,2.882,0.187,0,0,0,0,p
2019-03-13 05:12,2.872,0.187,0,0,0,0,p
2019-03-13 05:18,2.915,0.161,0,0,0,0,p
2019-03-13 05:24,2.902,0.190,0,0,0,0,p
2019-03-13 05:30,2.892,0.148,1,0,0,0,p
2019-03-13 05:36,2.902,0.164,1,0,0,0,p
2019-03-13 05:42,2.869,0.197,0,0,0,0,p
2019-03-13 05:48,2.918,0.144,1,0,0,0,p
2019-03-13 05:54,2.911,0.148,1,0,0,0,p
2019-03-13 06:00,2.957,0.154,0,0,0,0,p
2019-03-13 06:06,3.000,0.151,1,0,0,0,p
2019-03-13 06:12,3.026,0.144,1,0,0,0,p
2019-03-13 06:18,3.030,0.144,1,0,0,0,p
2019-03-13 06:24,3.039,0.131,0,0,0,0,p
2019-03-13 06:30,3.089,0.141,0,0,0,0,p
2019-03-13 06:36,3.105,0.167,0,0,0,0,p
2019-03-13 06:42,3.203,0.125,0,0,0,0,p
2019-03-13 06:48,3.171,0.157,1,0,0,0,p
2019-03-13 06:54,3.203,0.141,0,0,0,0,p
2019-03-13 07:00,3.207,0.144,1,0,0,0,p
2019-03-13 07:06,3.295,0.128,0,0,0,0,p
2019-03-13 07:12,3.302,0.177,0,0,0,0,p
2019-03-13 07:18,3.348,0.151,0,0,0,0,p
2019-03-13 07:24,3.459,0.161,0,0,0,0,p
2019-03-13 07:30,3.440,0.171,0,0,0,0,p
2019-03-13 07:36,3.489,0.171,0,0,0,0,p
2019-03-13 07:42,3.545,0.177,0,0,0,0,p
2019-03-13 07:48,3.581,0.148,0,0,0,0,p
2019-03-13 07:54,3.656,0.167,1,0,0,0,p
2019-03-13 08:00,3.758,0.167,1,0,0,0,p
2019-03-13 08:06,3.810,0.148,1,0,0,0,p
2019-03-13 08:12,3.830,0.171,1,0,0,0,p
2019-03-13 08:18,3.869,0.184,1,0,0,0,p
2019-03-13 08:24,3.948,0.154,0,0,0,0,p
2019-03-13 08:30,3.997,0.157,1,0,0,0,p
2019-03-13 08:36,4.089,0.144,0,0,0,0,p
2019-03-13 08:42,4.132,0.174,1,0,0,0,p
2019-03-13 08:48,4.188,0.164,0,0,0,0,p
2019-03-13 08:54,4.237,0.148,0,0,0,0,p
2019-03-13 09:00,4.312,0.154,0,0,0,0,p
2019-03-13 09:06,4.352,0.171,0,0,0,0,p
2019-03-13 09:12,4.371,0.190,1,0,0,0,p
2019-03-13 09:18,4.427,0.177,0,0,0,0,p
2019-03-13 09:24,4.512,0.174,0,0,0,0,p
2019-03-13 09:30,4.512,0.207,0,0,0,0,p
2019-03-13 09:36,4.562,0.174,0,0,0,0,p
2019-03-13 09:42,4.644,0.157,0,0,0,0,p
2019-03-13 09:48,4.696,0.151,1,0,0,0,p
2019-03-13 09:54,4.755,0.128,1,0,0,0,p
2019-03-13 10:00,4.837,0.151,1,0,0,0,p
2019-03-13 10:06,4.900,0.157,1,0,0,0,p
2019-03-13 10:12,4.860,0.161,0,0,0,0,p
2019-03-13 10:18,4.893,0.144,0,0,0,0,p
2019-03-13 10:24,4.942,0.154,0,0,0,0,p
2019-03-13 10:30,4.982,0.138,0,0,0,0,p
2019-03-13 10:36,4.985,0.144,0,0,0,0,p
2019-03-13 10:42,5.064,0.135,0,0,0,0,p
2019-03-13 10:48,5.044,0.138,0,0,0,0,p
2019-03-13 10:54,5.093,0.154,0,0,0,0,p
2019-03-13 11:00,5.110,0.131,1,0,0,0,p
2019-03-13 11:06,5.146,0.157,0,0,0,0,p
2019-03-13 11:12,5.096,0.151,0,0,0,0,p
2019-03-13 11:18,5.119,0.125,1,0,0,0,p
2019-03-13 11:24,5.139,0.148,0,0,0,0,p
2019-03-13 11:30,5.139,0.141,0,0,0,0,p
2019-03-13 11:36,5.116,0.157,0,0,0,0,p
2019-03-13 11:42,5.100,0.144,1,0,0,0,p
2019-03-13 11:48,5.054,0.135,0,0,0,0,p
2019-03-13 11:54,5.024,0.125,0,0,0,0,p
2019-03-13 12:00,4.975,0.154,0,0,0,0,p
2019-03-13 12:06,4.991,0.135,1,0,0,0,p
2019-03-13 12:12,4.988,0.148,0,0,0,0,p
2019-03-13 12:18,4.932,0.121,0,0,0,0,p
2019-03-13 12:24,4.972,0.138,0,0,0,0,p
2019-03-13 12:30,4.857,0.135,0,0,0,0,p
2019-03-13 12:36,4.837,0.131,1,0,0,0,p
2019-03-13 12:42,4.742,0.128,1,0,0,0,p
2019-03-13 12:48,4.709,0.138,0,0,0,0,p
2019-03-13 12:54,4.647,0.144,0,0,0,0,p
2019-03-13 13:00,4.611,0.154,0,0,0,0,p
2019-03-13 13:06,4.562,0.128,1,0,0,0,p
2019-03-13 13:12,4.509,0.138,0,0,0,0,p
2019-03-13 13:18,4.394,0.148,0,0,0,0,p
2019-03-13 13:24,4.312,0.135,0,0,0,0,p
2019-03-13 13:30,4.234,0.154,0,0,0,0,p
2019-03-13 13:36,4.165,0.144,0,0,0,0,p
2019-03-13 13:42,4.086,0.157,0,0,0,0,p
2019-03-13 13:48,4.060,0.164,1,0,0,0,p
2019-03-13 13:54,3.915,0.151,0,0,0,0,p
2019-03-13 14:00,3.853,0.171,0,0,0,0,p
2019-03-13 14:06,3.712,0.144,0,0,0,0,p
2019-03-13 14:12,3.640,0.121,0,0,0,0,p
2019-03-13 14:18,3.571,0.151,0,0,0,0,p
2019-03-13 14:24,3.492,0.131,0,0,0,0,p
2019-03-13 14:30,3.407,0.144,1,0,0,0,p
2019-03-13 14:36,3.404,0.157,0,0,0,0,p
2019-03-13 14:42,3.282,0.144,0,0,0,0,p
2019-03-13 14:48,3.151,0.128,1,0,0,0,p
2019-03-13 14:54,3.079,0.121,0,0,0,0,p
2019-03-13 15:00,3.036,0.125,0,0,0,0,p
2019-03-13 15:06,2.931,0.128,0,0,0,0,p
2019-03-13 15:12,2.846,0.115,0,0,0,0,p
2019-03-13 15:18,2.760,0.121,0,0,0,0,p
2019-03-13 15:24,2.659,0.135,1,0,0,0,p
2019-03-13 15:30,2.564,0.144,0,0,0,0,p
2019-03-13 15:36,2.485,0.131,0,0,0,0,p
2019-03-13 15:42,2.367,0.174,1,0,0,0,p
2019-03-13 15:48,2.281,0.171,0,0,0,0,p
2019-03-13 15:54,2.199,0.135,1,0,0,0,p
2019-03-13 16:00,2.154,0.177,0,0,0,0,p
2019-03-13 16:06,2.131,0.138,0,0,0,0,p
2019-03-13 16:12,2.058,0.167,1,0,0,0,p
