Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,1.490000,1.490000,1.410000,1.430000,1.430000,46400
2018-03-29,1.360000,1.560000,1.360000,1.460000,1.460000,35500
2018-04-02,1.550000,1.640000,1.410000,1.420000,1.420000,51400
2018-04-03,1.410000,1.430000,1.370000,1.370000,1.370000,3800
2018-04-04,1.380000,1.490000,1.380000,1.420000,1.420000,12800
2018-04-05,1.480000,1.500000,1.440000,1.450000,1.450000,3000
2018-04-06,1.470000,1.510000,1.460000,1.500000,1.500000,28100
2018-04-09,1.500000,1.660000,1.500000,1.600000,1.600000,26900
2018-04-10,1.520000,1.770000,1.510000,1.630000,1.630000,69500
2018-04-11,1.700000,1.980000,1.680000,1.710000,1.710000,157900
2018-04-12,1.650000,1.720000,1.600000,1.610000,1.610000,72900
2018-04-13,1.630000,1.670000,1.560000,1.650000,1.650000,10500
2018-04-16,1.560000,1.630000,1.520000,1.520000,1.520000,16300
2018-04-17,1.590000,1.600000,1.510000,1.570000,1.570000,6500
2018-04-18,1.590000,1.630000,1.520000,1.560000,1.560000,6000
2018-04-19,1.590000,1.640000,1.550000,1.560000,1.560000,24600
2018-04-20,1.590000,1.640000,1.570000,1.600000,1.600000,10900
2018-04-23,1.580000,1.650000,1.580000,1.650000,1.650000,10700
2018-04-24,1.650000,1.650000,1.590000,1.600000,1.600000,3400
2018-04-25,1.590000,1.650000,1.560000,1.650000,1.650000,16400
2018-04-26,1.610000,1.620000,1.590000,1.620000,1.620000,4000
2018-04-27,1.630000,1.630000,1.590000,1.600000,1.600000,12700
2018-04-30,1.600000,1.600000,1.560000,1.560000,1.560000,14600
2018-05-01,1.500000,1.580000,1.500000,1.580000,1.580000,7900
2018-05-02,1.540000,1.580000,1.500000,1.550000,1.550000,14200
2018-05-03,1.520000,1.700000,1.520000,1.630000,1.630000,138400
2018-05-04,1.800000,2.200000,1.700000,1.750000,1.750000,753600
2018-05-07,1.710000,1.740000,1.550000,1.600000,1.600000,54000
2018-05-08,1.600000,1.640000,1.570000,1.600000,1.600000,17100
2018-05-09,1.600000,1.750000,1.600000,1.710000,1.710000,40300
2018-05-10,1.660000,1.720000,1.650000,1.710000,1.710000,8000
2018-05-11,1.690000,1.740000,1.650000,1.720000,1.720000,13900
2018-05-14,1.780000,1.850000,1.730000,1.730000,1.730000,41600
2018-05-15,1.790000,1.850000,1.630000,1.730000,1.730000,28500
2018-05-16,1.770000,1.770000,1.710000,1.720000,1.720000,6700
2018-05-17,1.760000,1.770000,1.660000,1.740000,1.740000,3400
2018-05-18,1.700000,1.730000,1.610000,1.650000,1.650000,47200
2018-05-21,1.700000,1.750000,1.700000,1.750000,1.750000,11400
2018-05-22,1.770000,1.770000,1.730000,1.760000,1.760000,17100
2018-05-23,1.700000,1.730000,1.700000,1.730000,1.730000,7900
2018-05-24,1.700000,1.740000,1.670000,1.740000,1.740000,12500
2018-05-25,1.700000,2.010000,1.630000,1.640000,1.640000,460600
2018-05-29,1.640000,1.690000,1.600000,1.610000,1.610000,20300
2018-05-30,1.600000,1.610000,1.500000,1.600000,1.600000,43700
2018-05-31,1.570000,1.570000,1.550000,1.560000,1.560000,1300
2018-06-01,1.560000,1.640000,1.560000,1.580000,1.580000,13600
2018-06-04,1.610000,1.610000,1.520000,1.570000,1.570000,22400
2018-06-05,1.550000,1.630000,1.550000,1.630000,1.630000,14000
2018-06-06,1.580000,1.650000,1.580000,1.600000,1.600000,5200
2018-06-07,1.620000,1.660000,1.530000,1.570000,1.570000,11500
