Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,157.839996,159.759995,157.820007,158.410004,154.491150,3913200
2018-03-29,159.000000,159.830002,156.380005,156.380005,152.511353,5289500
2018-04-02,158.270004,160.160004,155.250000,157.720001,153.818207,6960100
2018-04-03,157.979996,160.529999,157.300003,160.399994,156.431915,4719400
2018-04-04,158.500000,162.149994,157.880005,161.729996,157.729004,4888000
2018-04-05,162.399994,164.559998,161.750000,163.949997,159.894073,4503900
2018-04-06,162.419998,163.779999,160.910004,161.250000,157.260864,4321900
2018-04-09,162.220001,163.570007,161.059998,161.229996,157.241348,3581500
2018-04-10,162.830002,163.960007,162.050003,162.770004,158.743286,3902600
2018-04-11,162.500000,164.059998,162.279999,163.339996,159.299164,2711100
2018-04-12,163.589996,165.399994,161.539993,161.619995,157.621735,5178900
2018-04-13,162.160004,163.160004,161.259995,161.729996,157.729004,2452800
2018-04-16,161.300003,162.440002,160.860001,161.630005,157.631485,3115200
2018-04-17,162.389999,163.479996,162.059998,162.550003,158.528732,2861900
2018-04-18,162.589996,163.309998,161.740005,161.809998,157.807022,2503100
2018-04-19,161.610001,162.100006,158.779999,159.529999,155.583420,3276600
2018-04-20,159.330002,160.729996,158.509995,158.770004,154.842239,3961200
2018-04-23,158.970001,159.690002,158.149994,158.990005,155.056778,3051900
2018-04-24,159.750000,159.830002,156.759995,157.320007,153.428101,2904400
2018-04-25,157.089996,157.339996,155.009995,155.940002,152.082230,3710200
2018-04-26,156.460007,159.460007,155.649994,158.899994,154.968994,3680600
2018-04-27,159.479996,159.850006,158.210007,158.300003,154.383850,4141500
2018-04-30,164.690002,167.949997,163.750000,167.440002,163.297745,12954700
2018-05-01,166.380005,166.500000,162.100006,163.440002,159.396698,6560100
2018-05-02,162.149994,163.199997,160.440002,160.679993,156.704971,4318400
2018-05-03,160.600006,160.839996,159.080002,160.080002,156.119812,3450100
2018-05-04,159.949997,165.449997,159.899994,165.029999,160.947357,4283600
2018-05-07,166.770004,167.300003,164.649994,165.000000,160.918106,3379000
2018-05-08,164.440002,165.589996,163.750000,164.770004,160.693802,2808100
2018-05-09,165.000000,165.210007,163.050003,164.240005,160.176910,2762500
2018-05-10,164.449997,165.639999,164.309998,165.070007,160.986389,1675100
2018-05-11,165.000000,165.979996,164.850006,165.389999,161.298462,2258500
2018-05-14,165.649994,165.979996,164.320007,164.720001,160.645035,2537300
2018-05-15,164.270004,164.649994,162.330002,163.059998,159.026093,3471300
2018-05-16,163.240005,163.940002,161.740005,162.869995,158.840790,2522000
2018-05-17,162.630005,163.229996,160.729996,161.309998,157.319382,2975500
2018-05-18,161.679993,162.839996,160.550003,160.979996,156.997559,2318000
2018-05-21,161.779999,161.970001,160.610001,161.479996,157.485199,2424000
