Date,Open,High,Low,Close,Adj Close,Volume
3/28/2018,5.43,5.48,5.4,5.43,5.21495,19071600
3/29/2018,5.47,5.51,5.45,5.47,5.253366,11064500
4/2/2018,5.45,5.47,5.34,5.39,5.176534,9028500
4/3/2018,5.41,5.44,5.38,5.42,5.205347,11824100
4/4/2018,5.33,5.44,5.32,5.43,5.21495,11377000
4/5/2018,5.48,5.5,5.41,5.41,5.195742,11591700
4/6/2018,5.45,5.5,5.36,5.39,5.176534,13610100
4/9/2018,5.45,5.49,5.41,5.41,5.195742,8937100
4/10/2018,5.53,5.55,5.48,5.52,5.301386,18431100
4/11/2018,5.53,5.64,5.53,5.57,5.349406,14004500
4/12/2018,5.58,5.6,5.55,5.56,5.339802,11087100
4/13/2018,5.53,5.56,5.49,5.52,5.301386,8670000
4/16/2018,5.58,5.66,5.54,5.61,5.387822,12230900
4/17/2018,5.77,5.88,5.73,5.86,5.627921,24856900
4/18/2018,5.87,5.89,5.83,5.85,5.618317,7309800
4/19/2018,5.84,5.87,5.82,5.83,5.599109,10763400
4/20/2018,6.05,6.11,5.93,5.96,5.72396,24388300
4/23/2018,5.93,5.94,5.86,5.89,5.656732,11421000
4/24/2018,5.92,5.96,5.87,5.93,5.695148,13294400
4/25/2018,6.01,6.02,5.9,5.92,5.685544,26474800
4/26/2018,5.86,5.98,5.83,5.87,5.637524,44361200
4/27/2018,5.93,6.01,5.93,5.96,5.72396,18985700
4/30/2018,5.98,6.03,5.97,6.01,5.77198,19859100
5/1/2018,6,6.01,5.88,5.93,5.695148,12682600
5/2/2018,5.88,5.89,5.76,5.78,5.551089,20610800
5/3/2018,5.87,5.9,5.79,5.89,5.656732,13567100
5/4/2018,5.98,6.12,5.97,6.1,5.858416,21312600
5/7/2018,6.2,6.24,6.17,6.19,5.944851,11855000
5/8/2018,6.2,6.29,6.18,6.27,6.021683,15803800
5/9/2018,6.27,6.35,6.23,6.35,6.098515,12256400
5/10/2018,6.33,6.41,6.31,6.35,6.098515,12546900
5/11/2018,6.36,6.41,6.35,6.38,6.127326,11567900
5/14/2018,6.26,6.37,6.22,6.3,6.050495,26716900
5/15/2018,6.2,6.27,6.18,6.26,6.012079,10522100
5/16/2018,6.23,6.27,6.18,6.24,5.992871,8480900
5/17/2018,6.2,6.24,6.17,6.19,5.944851,8511900
5/18/2018,6.23,6.25,6.18,6.2,5.954455,9290100
5/21/2018,6.22,6.25,6.19,6.24,5.992871,6046100
5/22/2018,6.18,6.25,6.17,6.2,5.954455,8294300
5/23/2018,6.04,6.1,6.03,6.09,5.848812,11498400
5/24/2018,6.1,6.13,6.05,6.09,5.848812,8673000
5/25/2018,6,6.14,5.99,6.14,5.896831,19288900
5/29/2018,5.87,5.98,5.86,5.95,5.714356,32514200
5/30/2018,5.95,6,5.9,5.97,5.733564,18310700
5/31/2018,5.8,5.84,5.74,5.79,5.79,20110700
6/1/2018,5.85,5.86,5.81,5.85,5.85,12903700
6/4/2018,5.93,5.96,5.91,5.93,5.93,11761700
6/5/2018,5.93,5.95,5.89,5.9,5.9,12669700
6/6/2018,5.85,5.91,5.84,5.89,5.89,12227500
6/7/2018,5.86,5.89,5.81,5.84,5.84,10623000
6/8/2018,5.86,5.88,5.81,5.84,5.84,7495400
6/11/2018,5.84,5.93,5.83,5.9,5.9,8054700
6/12/2018,5.9,5.97,5.89,5.93,5.93,10266700
6/13/2018,6.01,6.12,6,6.08,6.08,17028900
6/14/2018,6.12,6.14,6.1,6.11,6.11,10406900
6/15/2018,6.11,6.12,6.07,6.12,6.12,11341100
6/18/2018,5.98,6.08,5.96,6.06,6.06,15350000
6/19/2018,5.94,5.98,5.9,5.96,5.96,23450500
6/20/2018,5.96,6.01,5.93,5.97,5.97,20032800
6/21/2018,5.94,5.94,5.87,5.91,5.91,16294000
6/22/2018,5.96,5.98,5.87,5.95,5.95,14031900
6/25/2018,5.88,5.88,5.76,5.83,5.83,18172300
6/26/2018,5.83,5.85,5.8,5.83,5.83,16130000
6/27/2018,5.84,5.88,5.73,5.73,5.73,18466900
6/28/2018,5.64,5.74,5.62,5.71,5.71,16003700
6/29/2018,5.76,5.81,5.75,5.75,5.75,9961300
7/2/2018,5.62,5.67,5.61,5.65,5.65,12536700
7/3/2018,5.67,5.71,5.64,5.68,5.68,8570600
7/5/2018,5.69,5.74,5.67,5.73,5.73,11288300
7/6/2018,5.76,5.79,5.74,5.76,5.76,16110500
7/9/2018,5.85,5.87,5.8,5.85,5.85,14221300
7/10/2018,5.93,5.97,5.91,5.95,5.95,9709500
7/11/2018,5.88,5.91,5.83,5.84,5.84,12723500
7/12/2018,5.83,5.92,5.83,5.9,5.9,14318200
7/13/2018,5.86,5.88,5.8,5.81,5.81,14247000
7/16/2018,5.87,5.9,5.84,5.88,5.88,10086500
7/17/2018,5.8,5.84,5.79,5.81,5.81,7242200
7/18/2018,6.07,6.09,6,6.04,6.04,28867100
7/19/2018,5.98,5.99,5.93,5.96,5.96,16460000
7/20/2018,5.98,6.01,5.96,5.97,5.97,12249700
7/23/2018,5.96,5.97,5.92,5.94,5.94,12864400
7/24/2018,5.95,5.97,5.85,5.9,5.9,17437000
7/25/2018,5.95,5.99,5.9,5.98,5.98,20731600
7/26/2018,5.64,5.66,5.53,5.55,5.55,62187600
7/27/2018,5.53,5.53,5.39,5.4,5.4,31219900
7/30/2018,5.55,5.59,5.47,5.5,5.5,27356800
7/31/2018,5.49,5.5,5.4,5.4,5.4,17331100
8/1/2018,5.46,5.47,5.4,5.43,5.43,14750600
8/2/2018,5.35,5.38,5.32,5.37,5.37,15197400
8/3/2018,5.35,5.38,5.34,5.36,5.36,7753100
8/6/2018,5.35,5.38,5.32,5.32,5.32,12103200
8/7/2018,5.4,5.43,5.36,5.39,5.39,14359600
8/8/2018,5.42,5.43,5.38,5.39,5.39,8013100
8/9/2018,5.38,5.4,5.35,5.36,5.36,7033700
8/10/2018,5.24,5.26,5.2,5.22,5.22,10930100
8/13/2018,5.21,5.22,5.18,5.19,5.19,4262300
8/14/2018,5.2,5.22,5.16,5.2,5.2,7491100
8/15/2018,5.14,5.15,5.07,5.09,5.09,12773100
8/16/2018,5.16,5.2,5.13,5.15,5.15,9123200
8/17/2018,5.2,5.24,5.18,5.23,5.23,12162600
8/20/2018,5.27,5.29,5.24,5.25,5.25,11653300
8/21/2018,5.33,5.36,5.32,5.36,5.36,9848900
8/22/2018,5.43,5.45,5.38,5.41,5.41,9434000
8/23/2018,5.48,5.49,5.42,5.43,5.43,8697900
8/24/2018,5.52,5.58,5.51,5.58,5.58,10080300
8/27/2018,5.64,5.74,5.64,5.71,5.71,9115000
8/28/2018,5.77,5.78,5.71,5.73,5.73,10009000
8/29/2018,5.68,5.72,5.66,5.71,5.71,6502700
8/30/2018,5.62,5.65,5.6,5.62,5.62,6645800
8/31/2018,5.58,5.6,5.53,5.55,5.55,5493700
9/4/2018,5.48,5.52,5.47,5.51,5.51,7070700
9/5/2018,5.44,5.45,5.36,5.4,5.4,11584000
9/6/2018,5.44,5.46,5.37,5.39,5.39,6491700
9/7/2018,5.34,5.38,5.32,5.32,5.32,14144900
9/10/2018,5.43,5.44,5.37,5.39,5.39,6895500
9/11/2018,5.35,5.37,5.32,5.36,5.36,4148300
9/12/2018,5.3,5.34,5.27,5.31,5.31,7815600
9/13/2018,5.54,5.57,5.44,5.47,5.47,10956400
9/14/2018,5.5,5.54,5.45,5.5,5.5,8821500
9/17/2018,5.5,5.54,5.47,5.5,5.5,8851100
9/18/2018,5.58,5.65,5.58,5.62,5.62,10827500
9/19/2018,5.39,5.49,5.39,5.46,5.46,15308800
9/20/2018,5.5,5.53,5.46,5.52,5.52,13580100
9/21/2018,5.56,5.61,5.53,5.59,5.59,15735200
9/24/2018,5.55,5.58,5.51,5.55,5.55,5937100
9/25/2018,5.54,5.62,5.54,5.6,5.6,13038900
9/26/2018,5.55,5.6,5.53,5.53,5.53,7410200
9/27/2018,5.58,5.7,5.58,5.69,5.69,18776700
9/28/2018,5.56,5.61,5.55,5.58,5.58,15810600
10/1/2018,5.6,5.65,5.59,5.61,5.61,17033400
10/2/2018,5.5,5.53,5.46,5.48,5.48,19791300
10/3/2018,5.54,5.54,5.46,5.47,5.47,15512500
10/4/2018,5.5,5.55,5.46,5.48,5.48,10249000
10/5/2018,5.41,5.43,5.33,5.38,5.38,7560300
10/8/2018,5.33,5.37,5.26,5.32,5.32,11679000
10/9/2018,5.31,5.34,5.26,5.3,5.3,12101700
10/10/2018,5.25,5.25,5.15,5.16,5.16,21285100
10/11/2018,5.21,5.25,5.12,5.15,5.15,19255400
10/12/2018,5.25,5.26,5.17,5.25,5.25,13415800
10/15/2018,5.28,5.31,5.24,5.29,5.29,9823500
10/16/2018,5.42,5.47,5.41,5.45,5.45,15975700
10/17/2018,5.46,5.58,5.42,5.52,5.52,17744900
10/18/2018,5.57,5.65,5.54,5.55,5.55,24359600
10/19/2018,5.61,5.66,5.58,5.62,5.62,17885400
10/22/2018,5.62,5.66,5.57,5.63,5.63,17495800
10/23/2018,5.54,5.59,5.44,5.55,5.55,24747300
10/24/2018,5.44,5.45,5.24,5.26,5.26,29459800
10/25/2018,5.31,5.42,5.27,5.32,5.32,23972300
10/26/2018,5.53,5.66,5.48,5.58,5.58,46115300
10/29/2018,5.62,5.64,5.5,5.55,5.55,19946600
10/30/2018,5.51,5.64,5.49,5.63,5.63,18164500
10/31/2018,5.66,5.72,5.62,5.62,5.62,22823000
11/1/2018,5.73,5.79,5.7,5.78,5.78,26007600
11/2/2018,5.84,5.87,5.77,5.8,5.8,20944100
11/5/2018,5.85,5.88,5.81,5.86,5.86,12499700
11/6/2018,5.85,5.88,5.82,5.86,5.86,10467000
11/7/2018,5.99,5.99,5.93,5.98,5.98,17500000
11/8/2018,5.94,5.97,5.89,5.93,5.93,12835000
11/9/2018,5.9,5.91,5.82,5.87,5.87,11833200
11/12/2018,5.81,5.83,5.74,5.75,5.75,11955800
11/13/2018,5.79,5.89,5.77,5.85,5.85,16321800
11/14/2018,5.87,5.88,5.78,5.79,5.79,13067200
11/15/2018,5.68,5.77,5.65,5.76,5.76,19930000
11/16/2018,5.83,5.85,5.78,5.81,5.81,17427500
11/19/2018,5.81,5.83,5.72,5.72,5.72,13216000
11/20/2018,5.53,5.61,5.48,5.51,5.51,23450200
11/21/2018,5.59,5.6,5.51,5.53,5.53,13066100
11/23/2018,5.47,5.51,5.46,5.49,5.49,10311800
11/26/2018,5.54,5.56,5.49,5.5,5.5,8863000
11/27/2018,5.51,5.52,5.44,5.47,5.47,10277400
11/28/2018,5.47,5.5,5.39,5.48,5.48,20396900
11/29/2018,5.5,5.55,5.48,5.52,5.52,17630000
11/30/2018,5.48,5.52,5.46,5.47,5.47,12123300
12/3/2018,5.63,5.64,5.57,5.6,5.6,14257900
12/4/2018,5.55,5.57,5.39,5.4,5.4,19372300
12/6/2018,5.39,5.64,5.37,5.62,5.62,32126200
12/7/2018,5.61,5.66,5.52,5.53,5.53,23097400
12/10/2018,5.6,5.71,5.6,5.68,5.68,34543200
12/11/2018,5.82,5.87,5.79,5.84,5.84,46730800
12/12/2018,5.95,6.06,5.93,6.04,6.04,48348500
12/13/2018,5.98,6.05,5.97,6.03,6.03,31790800
12/14/2018,5.91,6.01,5.89,5.94,5.94,17796500
12/17/2018,5.94,5.95,5.85,5.87,5.87,26578100
12/18/2018,5.88,5.9,5.76,5.78,5.78,19722400
12/19/2018,5.83,5.9,5.74,5.77,5.77,19185100
12/20/2018,5.82,5.85,5.66,5.76,5.76,28858500
12/21/2018,5.71,5.75,5.48,5.49,5.49,29856800
12/24/2018,5.49,5.53,5.46,5.49,5.49,18967000
12/26/2018,5.51,5.56,5.42,5.56,5.56,36014100
12/27/2018,5.52,5.64,5.47,5.63,5.63,22782300
12/28/2018,5.69,5.83,5.67,5.81,5.81,33354500
12/31/2018,5.83,5.85,5.77,5.82,5.82,14979800
1/2/2019,5.7,5.77,5.69,5.74,5.74,24338600
1/3/2019,5.64,5.65,5.56,5.57,5.57,17354500
1/4/2019,5.73,5.96,5.73,5.93,5.93,34666300
1/7/2019,5.95,6.09,5.93,6.02,6.02,25502600
1/8/2019,6.07,6.16,6.03,6.15,6.15,33497100
1/9/2019,6.16,6.24,6.14,6.21,6.21,25471600
1/10/2019,6.11,6.18,6.09,6.14,6.14,21832900
1/11/2019,6.06,6.1,6.03,6.08,6.08,14824200
1/14/2019,6.03,6.07,6,6.02,6.02,15287800
1/15/2019,6,6.08,6,6.05,6.05,14197300
1/16/2019,5.96,6,5.9,5.95,5.95,24161700
1/17/2019,5.96,6,5.94,5.98,5.98,19734200
1/18/2019,6.11,6.13,6.04,6.11,6.11,22432600
1/22/2019,6,6.04,5.95,5.97,5.97,17110800
1/23/2019,6.06,6.12,6.01,6.05,6.05,14700400
1/24/2019,6.15,6.2,6.09,6.16,6.16,29669900
1/25/2019,6.38,6.64,6.37,6.6,6.6,58825000
1/28/2019,6.48,6.51,6.42,6.49,6.49,36912200
1/29/2019,6.51,6.6,6.48,6.55,6.55,34649100
1/30/2019,6.5,6.65,6.45,6.57,6.57,34552800
1/31/2019,6.36,6.4,6.21,6.35,6.35,71227900
2/1/2019,6.26,6.26,6.09,6.13,6.13,45701700
2/4/2019,6.12,6.12,5.98,6.06,6.06,33474700
2/5/2019,6.05,6.09,6.02,6.04,6.04,27216200
2/6/2019,6.08,6.11,6.04,6.05,6.05,23624000
2/7/2019,6.02,6.03,5.95,5.96,5.96,39599500
2/8/2019,5.96,6.19,5.96,6.16,6.16,37475100
2/11/2019,6.19,6.23,6.13,6.21,6.21,23293400
2/12/2019,6.21,6.26,6.15,6.24,6.24,29400700
2/13/2019,6.27,6.35,6.26,6.32,6.32,18786100
2/14/2019,6.31,6.34,6.27,6.3,6.3,18292800
2/15/2019,6.3,6.33,6.26,6.32,6.32,20775700
2/19/2019,6.13,6.19,6.12,6.17,6.17,22651500
2/20/2019,6.05,6.12,6.03,6.1,6.1,22922800
2/21/2019,6.1,6.17,6.09,6.15,6.15,25796000
2/22/2019,6.15,6.25,6.14,6.24,6.24,26931600
