Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,7.330000,7.400000,7.290000,7.360000,7.001785,831600
2018-03-29,7.420000,7.460000,7.370000,7.400000,7.039839,704600
2018-04-02,7.400000,7.430000,7.280000,7.320000,6.963732,581100
2018-04-03,7.370000,7.420000,7.320000,7.390000,7.030325,733600
2018-04-04,7.350000,7.440000,7.350000,7.430000,7.068378,663100
2018-04-05,7.400000,7.490000,7.400000,7.460000,7.096919,499700
2018-04-06,7.450000,7.480000,7.370000,7.410000,7.049352,781300
2018-04-09,7.470000,7.540000,7.440000,7.450000,7.087405,540400
2018-04-10,7.540000,7.610000,7.540000,7.570000,7.201565,571000
2018-04-11,7.610000,7.620000,7.570000,7.570000,7.201565,419000
2018-04-12,7.620000,7.680000,7.610000,7.660000,7.287184,409500
2018-04-13,7.730000,7.730000,7.610000,7.640000,7.268158,474400
2018-04-16,7.670000,7.680000,7.640000,7.660000,7.287184,362000
2018-04-17,7.720000,7.800000,7.710000,7.780000,7.401344,916300
2018-04-18,7.810000,7.830000,7.750000,7.780000,7.401344,817400
2018-04-19,7.780000,7.860000,7.780000,7.800000,7.420371,672000
2018-04-20,7.800000,7.830000,7.780000,7.800000,7.420371,367100
2018-04-23,7.800000,7.830000,7.780000,7.800000,7.420371,256200
2018-04-24,7.810000,7.830000,7.730000,7.750000,7.372804,492200
2018-04-25,7.710000,7.750000,7.660000,7.720000,7.344264,401300
2018-04-26,7.740000,7.760000,7.670000,7.700000,7.325237,428500
2018-04-27,7.450000,7.560000,7.450000,7.520000,7.153998,657900
2018-04-30,7.500000,7.550000,7.480000,7.480000,7.115945,470900
2018-05-01,7.460000,7.460000,7.400000,7.430000,7.068378,578200
2018-05-02,7.520000,7.540000,7.450000,7.460000,7.096919,604500
2018-05-03,7.460000,7.470000,7.360000,7.410000,7.049352,552600
2018-05-04,7.350000,7.490000,7.350000,7.470000,7.106432,368300
2018-05-07,7.490000,7.510000,7.480000,7.500000,7.134972,218400
2018-05-08,7.470000,7.490000,7.450000,7.470000,7.106432,369900
2018-05-09,7.540000,7.620000,7.540000,7.610000,7.239618,399600
2018-05-10,7.790000,7.910000,7.760000,7.910000,7.525016,1509800
2018-05-11,8.120000,8.140000,8.050000,8.060000,7.667717,1274400
2018-05-14,8.110000,8.120000,8.040000,8.050000,7.658203,919400
2018-05-15,8.030000,8.060000,7.980000,8.000000,7.610636,612400
2018-05-16,7.990000,8.030000,7.960000,7.970000,7.582096,1036000
